State,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
IN,2014,19.4,22,34.1,52.4,62.9,72.6,69.1,72.4,64,53.8,35.6,34.6
IN,2015,25.3,19.3,37.2,52.9,65,71,72.9,70.6,68.8,55.6,46.6,42.5
IN,2016,27.5,33.9,47.3,52,60.6,72.9,74.6,75.7,69.9,59.5,47,29.8
IN,2017,33.8,41.3,42.6,57,60.8,71.1,74.2,69.9,67.1,57.5,42.3,29.6
IN,2018,24.5,35.1,38.2,45.1,69.6,73.4,74.1,73.9,,,,
IA,2010,13.6,17.3,38.4,55.2,59.9,70.8,74.6,74.4,63.1,53.9,38,19.1
IA,2011,14.8,22.6,35.1,47.6,59.1,69.6,78,72,60.2,53.4,39.4,29.1
IA,2012,26.5,29.6,51.6,52.4,65,71.4,79.4,71,62.1,48.8,39.2,27.7
IA,2013,22,24.2,29,43.8,59,68.9,72.3,71.9,67,50.5,33.9,17.4
IA,2014,14.2,13.2,29.7,47.5,60,70.2,68.8,71.2,62,51.2,29.3,28.2
IA,2015,21.6,14.5,37.3,51.1,60,69.4,72,68.9,68.4,53,42,33
IA,2016,19.6,28.6,42.4,50.1,59.5,73,72.8,72,67.3,55.3,45.1,22.9
IA,2017,24.2,34.5,37.5,51.1,58.5,71.1,74.7,67.8,66.7,53.3,36.2,24.4
IA,2018,17.8,20.4,35.2,39.3,67,73.1,73.1,71.8,,,,
KS,2010,27.2,29.9,44.2,57.8,62.1,77,79.6,79.7,70.8,59.1,43.6,32.3
KS,2011,27.3,30.2,44.1,55.2,62.6,76.8,84.9,80.9,66.2,57.5,43.7,33.1
KS,2012,36.1,37.1,55.5,59.2,69,77.5,84.4,76.5,68.2,54,46.5,34.6
KS,2013,32.1,33.6,40.3,48.4,63.3,75.2,77.2,76.5,72.1,55.2,41.3,29.2
KS,2014,29.6,27.8,40.6,54,64.7,73.6,75.4,78.3,68.2,58.9,38.5,34.6
KS,2015,32.1,31.2,46.8,56.4,61.7,75.8,78.9,75.2,74.2,59.2,46.5,37.6
KS,2016,32,40.8,49.7,56.3,61.6,77.5,79.7,76.4,70.8,61.5,49.9,29.8
KS,2017,33,43.1,48.9,55.6,62.1,75,80,73.1,70.5,57.6,45.2,33.5
KS,2018,29.8,31.8,45.8,47.5,71,78,78.6,75.7,,,,
KY,2010,29.8,30.6,46.5,59.9,67.3,77.1,78.4,78.3,70,58.2,47.1,29
KY,2011,30.2,39.1,47.9,58.8,64.2,74.2,79.5,75.8,66.9,55.6,49.9,41.1
KY,2012,38.7,41.2,58.1,57.3,69.4,72.5,80.5,74.6,67.3,55.2,43.2,43
KY,2013,36.7,36.8,39.4,55.2,64.9,72.9,74,73.7,69.1,57.6,42.8,37.4
KY,2014,26.8,33.2,41.5,57.4,66.1,74.1,72.6,75.1,68.2,57.6,39.8,39.7
KY,2015,32.2,26.3,44.5,57.4,67.3,74.2,76.5,72.8,70.2,57.8,50.9,48.7
KY,2016,31.6,38.9,51.8,57.3,62.9,74.9,77.9,78,72.2,62.7,49.9,37
KY,2017,40.9,46.1,47.9,61.4,64.9,71.7,76.9,72.9,68.2,59.3,47,35.7
KY,2018,30,44.4,44,50.6,71.8,75.4,76.6,75.6,,,,
LA,2010,45.6,44.8,55.1,67.6,77.3,83.5,83.4,85,79.8,68.3,59,48.1
LA,2011,46.9,52.54,62,70.4,73.7,83.8,84.1,86.7,76,65.5,59.7,51.3
LA,2012,55.2,56.1,67.4,69.4,76.3,80.7,82.3,82,77.4,65.8,57,55
LA,2013,52.5,54.2,55.3,64.6,71.7,80.9,80.7,82,79.9,68.6,55,49.6
LA,2014,43.4,50.2,55,65.5,71.8,79.8,80,81.3,78.1,69,53.1,53.7
LA,2015,47.2,47.5,60.5,69.8,74.8,80.5,84.2,82.6,78.5,69.7,62.7,59.1
LA,2016,48.8,55.1,63.8,68.2,73.3,80.9,83.7,82.4,80.2,71.4,62.4,54.7
LA,2017,56.8,61.7,64.3,69.4,71.8,78.4,82.4,81,77,69.1,61.6,50.8
LA,2018,44.3,60.5,62.1,62.6,77.7,82,83.4,82.1,,,,
ME,2010,20.3,24.6,34.6,44.9,54.6,60.8,69.2,65.2,58.3,45.2,34.5,23.4
ME,2011,15.9,16.2,26.8,39,51.9,60.2,67.6,64.8,59,47.6,38.8,26
ME,2012,18.2,21.4,34.3,42.2,53.8,60.2,67.6,67.4,55.9,48.2,32.7,24.4
ME,2013,15.8,20,30.3,39.1,52.3,60.8,68.3,63.7,56.7,47.3,32.3,17
ME,2014,14.2,15.7,18.1,38.7,51.7,61.6,67.2,64.4,56.4,48.5,31.8,26
ME,2015,11.7,5.2,21.6,37.8,55.7,57.5,64.8,67.2,61.8,43.2,37,31.2
ME,2016,20.1,21.9,29.2,37.3,52.8,60.5,67,66.6,59.1,46.9,37.2,20.5
ME,2017,21.6,20.7,22.3,42.1,50.8,61,65.2,63.4,61.3,51.9,32.4,16.4
ME,2018,14.9,22.6,28.9,36.7,53.6,59,68.9,68.1,,,,
MD,2010,32.2,30.8,47.5,57.5,65.7,76.2,79.1,76.4,70.2,57.8,46.1,30.9
MD,2011,29.6,37.6,43.7,56.7,65.8,74,79.6,75.1,69,55.9,49.5,41.8
MD,2012,37.5,40.5,52.7,54.2,67.7,71.7,79.8,75.8,67.8,57.5,42.6,42.2
MD,2013,36.3,34.5,39.7,54.4,62.8,72.7,77.8,72.4,66,58.1,43.3,38.6
MD,2014,27.8,32.8,38.2,52.7,64.2,72.3,74.7,71.8,68,58.2,42.7,39.6
MD,2015,30.7,25.3,39.4,54,67.6,73,75.9,73.9,70.8,55.6,50.5,48.6
MD,2016,32.1,36.9,49.4,53.1,60.9,72.2,78.4,78,71.5,59.4,47.7,38
MD,2017,38.2,43.7,43,59.6,62,72.6,77.5,72.8,68.2,61.1,45.7,35.3
MD,2018,31,41.6,39.3,50.6,68.7,72,76.3,77.2,,,,
MA,2010,25.9,29.3,41.4,50.6,60.3,67.6,74.1,70.1,64.6,61.5,41,27.8
MA,2011,22.4,25.5,35.4,47.7,58.5,65.2,72.8,69.8,64.9,52.6,45.4,35.8
MA,2012,30.4,33.6,44.1,48.7,60.4,65,73,71.5,61.9,53.5,39.2,34.7
MA,2013,27.5,28.4,34.9,46.3,57.7,67,75,68,60.8,51.8,38.8,29.4
MA,2014,23,24.1,29.1,45.9,57.2,65.9,71.2,67.2,62.3,53.3,38.8,34.7
MA,2015,21.8,14.6,29.3,45.5,61.8,63.6,71,71.1,66.2,50.1,44.7,41.8
MA,2016,28.5,30.9,41,45,57.2,66.1,72.6,72.5,64.6,52.2,42.2,31
MA,2017,31.5,32.9,31.5,50.2,55.2,65.9,70,68,65.1,57.5,40.2,26.6
MA,2018,24.5,34.2,34.8,42.3,60.8,64.7,73.4,73.6,,,,
MI,2010,21.3,23.1,37.6,49,58.3,64.9,71.4,70.7,58.1,49.9,37.8,22.8
MI,2011,16.9,21.3,28.8,42,55,64.2,72.7,68.3,58.7,49.7,39.9,29.9
MI,2012,25.1,28.4,44.7,43.9,59,66.5,73.5,67.5,58.4,47.5,36.2,30.4
MI,2013,23,20.9,27.8,39.5,56.5,63.8,68.8,66.6,59.5,48.8,34.2,19.3
MI,2014,12.3,12.7,21,41.2,54.6,65.2,64.9,66,58.8,47.5,30.3,28.2
MI,2015,16.6,8,28.6,43.2,57.2,62.5,67.9,66.9,64.6,48.9,41.3,35.6
MI,2016,22.3,25.3,36.1,40.8,55.4,64.7,70.3,70.8,63.5,51.6,42.6,25
MI,2017,25.2,29.9,30.6,47.2,53,65.3,68.5,65.2,62.6,52.4,34.5,20.9
MI,2018,20,23,29.6,35.3,60.2,65.1,70.3,69.7,,,,
MN,2010,8.8,12.8,35.8,50,56,63.8,70.4,70.2,55,49.1,30.7,11.5
MN,2011,5,13.2,23.6,41.6,53.6,63.4,72.7,68.2,57.5,49.9,32.9,22.7
MN,2012,18.4,22.4,41.8,45.5,58.3,66.8,74.3,66.7,57.3,43.2,30.9,16.8
MN,2013,11.4,13,20.6,34,53.2,63.9,69,67.8,61.5,44.9,27.6,5
MN,2014,2.3,3.8,19.6,38.4,54.3,65,66.7,67.1,58.5,46.2,21.4,20.4
MN,2015,13.7,5.6,30.7,44.6,54.2,64.7,69.5,65.9,63.8,47.9,36.5,24.8
MN,2016,12.6,19.9,35.7,42.5,56.7,65.6,69.3,68.1,60.7,48.2,40.2,15.3
MN,2017,14.7,24,28.3,44.4,53.6,65.1,69.2,64,60.8,47.2,27.5,13.4
MN,2018,10.3,8.6,27.4,32.8,61.1,67,69.8,67.7,,,,
MS,2010,40.6,40.7,52.3,65.1,74.4,82.2,82.7,83.8,77.1,65.1,55.7,42.3
MS,2011,42.2,49.8,57.8,67,70.6,82.2,82.9,83,72.5,61.3,56.1,48
MS,2012,50.8,52.2,65.4,65.8,74.3,78.2,81.9,79.5,74.4,62.1,52,51.6
MS,2013,49.1,49,50.4,62.1,68.9,78.9,78.8,79.7,77,65.4,51.1,46.7
MS,2014,38.5,46.3,51.6,62.7,70.8,78.6,77.5,79.8,76.5,66.5,48.8,50.2
MS,2015,43.8,41.9,57.7,67,72.3,79.2,82.8,80.1,76.3,66.5,59.2,56.7
MS,2016,43.7,50.9,60.2,65.2,70.5,80.2,82.4,82,79,69.2,58.2,49.4
MS,2017,52.9,57.1,60.2,67.3,70.2,76.7,81.3,79.4,74.5,66.2,56.9,47.4
MS,2018,40.3,57,57,59,75.8,80.7,81.8,80.4,,,,
MO,2010,25.5,28.4,45,60.5,64.5,77.3,79.1,79,68.8,58.3,46.5,29.6
MO,2011,26.7,33.2,45.1,56.8,62.8,75.8,82.7,77.8,64.8,57.2,47.4,37.4
MO,2012,36.3,39.9,58.1,59,69.5,74.8,83.6,76.2,67,54.3,45.1,38.8
MO,2013,33.8,34.4,38.3,52.1,63.4,73,75,74.6,70.7,55.9,41.8,30.3
MO,2014,25.8,26.5,39.5,55.1,65.3,73.7,72.6,76.6,67.1,57.8,37.8,36.7
MO,2015,31.2,26.2,44.5,57.7,64.8,74.3,77.4,73.4,71.6,57.7,48.9,42.4
MO,2016,30.9,39.1,50.4,57.3,62.7,76.9,78.1,76.7,71.7,62.1,51,32.4
MO,2017,35.4,45.1,48.3,58.3,64,73.5,78.8,72.1,70.4,59,46.1,34.3
MO,2018,28.1,35.6,44,48.2,72.5,77.4,78.2,76.4,,,,
MT,2010,20.6,21.1,36.2,41.6,46.3,57.5,64.3,63.8,54.1,47.6,26.6,19
MT,2011,19.1,16.4,28.6,37.7,47.1,56.3,66.6,66.8,58.3,45.9,30,26.2
MT,2012,25.1,24.9,39.4,44.8,49.5,60.2,70.7,66.7,58.2,41,32.4,21.5
MT,2013,21.7,27.4,30.5,36.9,51.9,59,67.5,67.3,58.8,40.8,30.4,16.4
MT,2014,24.5,14.7,29.4,41,51.1,56.5,67.6,64.8,55.1,47.9,25.3,25
MT,2015,24.7,26.9,39.5,42.8,49.6,63.8,66.2,65.9,57.3,48,30,23.6
MT,2016,23.4,33.6,37.4,45,51,62.4,65.9,64.4,54.8,44.3,39.1,14.2
MT,2017,15.2,25.5,35.8,42.2,52.3,60.7,71.6,65.5,55.2,42.6,30.7,21.1
MT,2018,21.8,11.5,28.3,38,55.7,59.2,66.9,64.6,,,,
NE,2010,22.1,23,39.7,51.7,56.3,69.6,74.5,74.8,63.6,54,36.7,26.1
NE,2011,20.4,24.5,37.1,47.5,56,68.2,77.7,73.9,60.6,52.7,38.2,28.6
NE,2012,30.4,29.3,50.8,53.5,62.3,73.4,80,73,64.1,48.2,40,27.6
NE,2013,25.5,28.8,34.8,42.5,58.5,68.8,73.2,73.8,68,48.8,36,22.8
NE,2014,25.4,20.8,35.4,48.3,58.5,68.1,71.2,72.2,62.9,53.2,32.2,28
NE,2015,27.2,26.1,42.9,50.5,56.2,69.8,73.4,70.9,68.6,54.3,40.1,29.7
NE,2016,26,35,43.9,49.9,57.2,73.3,74.2,71.8,65,55.4,44.3,23.8
NE,2017,24.8,35.4,42.2,49.7,57,70.7,76.8,69,65.1,51,39.9,26.6
NE,2018,23,21.7,38.4,41.2,63.8,72.2,73.4,70.9,,,,
NV,2010,32.9,35.8,39.9,44.2,49.2,64.8,74.1,69.9,63.9,52.9,37.4,35.6
NV,2011,32.9,32.8,40.6,44.4,50.8,62.4,71.9,72.5,65.6,52.4,37.6,30.9
NV,2012,35,34.6,42.4,49.9,58,66.2,73.7,74.2,66.2,53.4,43.4,31.3
NV,2013,26,33.3,44.7,48.4,56.5,68.6,76.3,71.6,62.5,48.1,41.5,28.4
NV,2014,37.1,39.2,43.4,49,57.4,66.7,76.1,69.5,65.5,55.4,41.5,35.6
NV,2015,37.7,42.8,47.6,47.8,55.4,71,70.9,72.7,65.9,56.2,35.9,30.8
NV,2016,31.1,38,44.2,50.1,55.1,69.7,73.7,72.1,62.3,53.2,43.2,30.5
NV,2017,29,38.1,45.6,47.1,57.1,68.6,76.2,73.5,61.6,50.4,44.4,34.7
NV,2018,38.5,33.7,39.6,50,57.8,67.8,77,73.3,,,,
NH,2010,21.1,25.3,37,46.7,56.7,63,70.4,66,60.1,46.3,36.1,23.1
NH,2011,16.8,18.7,29.3,42.4,55.8,62.1,69.1,66.2,61,48.2,40.2,29.4
NH,2012,22.7,26.9,38.9,44.2,57,62.1,68.9,68.2,57.5,49.7,34.3,28.7
NH,2013,20.2,23.1,30.8,42,54.9,63.2,70.6,64.8,57.4,48,33.2,22.2
NH,2014,16.5,18.1,21.6,41.6,54,62.8,67.9,64,57.8,49.8,33.8,28.7
NH,2015,14.6,8.1,23.8,40.6,58.9,60.2,66.9,67.6,62.7,45.2,39.6,35.2
NH,2016,22.9,25.6,35.2,40.2,54.8,62.6,68.5,68.2,60.5,48,37.9,24.4
NH,2017,25.7,26.7,25.3,45.8,52.1,62.4,66.4,64.1,62.1,53.7,34.5,19.6
NH,2018,18.3,26.9,30.4,38,57.1,61.2,69.8,69.3,,,,
NJ,2010,31.2,31.1,46.2,55.5,64,73.9,78.3,74.9,69.2,56,45,30.8
NJ,2011,27.2,34.4,41.2,53.9,63.7,71.9,78.4,73.5,68.9,55.8,48.9,40.5
