State,Year,Week,ILITotal,TotalPatients
Pennsylvania,2010,45,184,17799
Rhode Island,2010,45,30,6284
South Carolina,2010,45,32,6261
South Dakota,2010,45,39,5246
Tennessee,2010,45,76,12801
Texas,2010,45,1310,52030
Utah,2010,45,40,6025
Vermont,2010,45,33,2928
Virginia,2010,45,888,62905
Washington,2010,45,40,3748
West Virginia,2010,45,201,9716
Wisconsin,2010,45,55,5320
Wyoming,2010,45,23,4964
New York City,2010,45,1557,89571
Alabama,2010,46,434,12286
Alaska,2010,46,18,1870
Arizona,2010,46,284,25897
Arkansas,2010,46,74,4760
California,2010,46,1020,36175
Colorado,2010,46,137,19683
Connecticut,2010,46,22,3555
Delaware,2010,46,12,3070
District of Columbia,2010,46,52,3282
Georgia,2010,46,1938,42545
Hawaii,2010,46,23,1753
Idaho,2010,46,98,5003
Illinois,2010,46,661,40492
Indiana,2010,46,104,12670
Iowa,2010,46,21,4337
Kansas,2010,46,63,10574
Kentucky,2010,46,78,16839
Louisiana,2010,46,539,19147
Maine,2010,46,33,6342
Maryland,2010,46,156,10399
Massachusetts,2010,46,236,29372
Michigan,2010,46,109,16629
Minnesota,2010,46,44,6261
Mississippi,2010,46,764,17108
Missouri,2010,46,101,8391
Montana,2010,46,3,2729
Nebraska,2010,46,85,3508
Nevada,2010,46,294,11167
New Hampshire,2010,46,16,5729
New Jersey,2010,46,158,7393
New Mexico,2010,46,228,7921
New York,2010,46,79,15692
North Carolina,2010,46,122,25177
North Dakota,2010,46,30,4657
Ohio,2010,46,95,17817
Oklahoma,2010,46,103,3074
Oregon,2010,46,44,6688
Pennsylvania,2010,46,170,17964
Rhode Island,2010,46,35,6942
South Carolina,2010,46,33,7238
South Dakota,2010,46,59,5892
Tennessee,2010,46,86,12712
Texas,2010,46,1121,49906
Utah,2010,46,53,5838
Vermont,2010,46,53,2960
Virginia,2010,46,898,58600
Washington,2010,46,44,3305
West Virginia,2010,46,224,11211
Wisconsin,2010,46,59,5249
Wyoming,2010,46,36,4834
New York City,2010,46,1810,93936
Alabama,2010,47,360,8418
Alaska,2010,47,10,1533
Arizona,2010,47,251,22138
Arkansas,2010,47,53,2616
California,2010,47,729,23060
Colorado,2010,47,108,14316
Connecticut,2010,47,11,1535
Delaware,2010,47,12,2384
District of Columbia,2010,47,60,1799
Georgia,2010,47,1801,32966
Hawaii,2010,47,128,8131
Idaho,2010,47,99,3226
Illinois,2010,47,622,34238
Indiana,2010,47,72,9056
Iowa,2010,47,8,1499
Kansas,2010,47,61,6850
Kentucky,2010,47,63,11675
Louisiana,2010,47,433,14793
Maine,2010,47,27,4372
Maryland,2010,47,128,6360
Massachusetts,2010,47,198,20666
Michigan,2010,47,92,10758
Minnesota,2010,47,47,4269
Mississippi,2010,47,786,16246
Missouri,2010,47,78,5516
Montana,2010,47,10,1862
Nebraska,2010,47,15,2440
Nevada,2010,47,299,9639
New Hampshire,2010,47,8,3899
New Jersey,2010,47,143,5915
New Mexico,2010,47,194,6514
New York,2010,47,58,10561
North Carolina,2010,47,102,16140
North Dakota,2010,47,27,4572
Ohio,2010,47,48,10561
Oklahoma,2010,47,64,2413
Oregon,2010,47,25,2350
Pennsylvania,2010,47,144,12991
Rhode Island,2010,47,31,4572
South Carolina,2010,47,23,4483
South Dakota,2010,47,37,4148
Tennessee,2010,47,65,7909
Texas,2010,47,964,37096
Utah,2010,47,37,4976
Vermont,2010,47,46,2371
Virginia,2010,47,987,60654
Washington,2010,47,21,1121
West Virginia,2010,47,133,7892
Wisconsin,2010,47,36,3680
Wyoming,2010,47,17,3399
New York City,2010,47,1971,84555
Alabama,2010,48,467,10517
Alaska,2010,48,8,1740
Arizona,2010,48,371,26085
Arkansas,2010,48,62,4451
California,2010,48,939,36028
Colorado,2010,48,168,19771
Connecticut,2010,48,19,4289
Delaware,2010,48,11,4074
District of Columbia,2010,48,135,3246
Georgia,2010,48,1315,37768
Hawaii,2010,48,34,1732
Idaho,2010,48,86,4774
Illinois,2010,48,659,40646
Indiana,2010,48,109,12286
Iowa,2010,48,26,3142
Kansas,2010,48,66,9174
Kentucky,2010,48,111,16482
Louisiana,2010,48,443,16624
Maine,2010,48,23,6610
Maryland,2010,48,167,8962
Massachusetts,2010,48,260,28787
Michigan,2010,48,88,15586
Minnesota,2010,48,51,5962
Mississippi,2010,48,829,16970
Missouri,2010,48,132,8422
Montana,2010,48,1,2628
Nebraska,2010,48,99,3516
Nevada,2010,48,325,11244
New Hampshire,2010,48,7,5043
New Jersey,2010,48,144,5536
New Mexico,2010,48,234,8197
New York,2010,48,244,15007
North Carolina,2010,48,170,25844
North Dakota,2010,48,18,5186
Ohio,2010,48,59,16878
Oklahoma,2010,48,64,2984
Oregon,2010,48,27,3759
Pennsylvania,2010,48,217,17952
Rhode Island,2010,48,51,6660
South Carolina,2010,48,37,7258
South Dakota,2010,48,62,5600
Tennessee,2010,48,106,13155
Texas,2010,48,1273,49607
Utah,2010,48,66,7873
Vermont,2010,48,52,3301
Virginia,2010,48,970,61726
Washington,2010,48,35,3565
West Virginia,2010,48,159,11434
Wisconsin,2010,48,71,5587
Wyoming,2010,48,29,4884
New York City,2010,48,2411,94844
Alabama,2010,49,656,11289
Alaska,2010,49,14,1755
Arizona,2010,49,517,24065
Arkansas,2010,49,44,4311
California,2010,49,1072,35077
Colorado,2010,49,154,19024
Connecticut,2010,49,23,3512
Delaware,2010,49,9,2492
District of Columbia,2010,49,100,3067
Georgia,2010,49,1685,37531
Hawaii,2010,49,42,1734
Idaho,2010,49,81,4702
Illinois,2010,49,732,39506
Indiana,2010,49,112,11790
Iowa,2010,49,28,2934
Kansas,2010,49,86,10381
Kentucky,2010,49,90,15032
Louisiana,2010,49,492,17541
Maine,2010,49,26,5974
Maryland,2010,49,153,9864
Massachusetts,2010,49,272,28114
Michigan,2010,49,85,15087
Minnesota,2010,49,37,6332
Mississippi,2010,49,878,16447
Missouri,2010,49,113,8246
Montana,2010,49,1,2782
Nebraska,2010,49,91,3696
Nevada,2010,49,394,12002
New Hampshire,2010,49,12,4858
New Jersey,2010,49,183,6896
New Mexico,2010,49,200,8605
New York,2010,49,303,14009
North Carolina,2010,49,132,21512
North Dakota,2010,49,11,4631
Ohio,2010,49,55,16060
Oklahoma,2010,49,51,2183
Oregon,2010,49,33,3367
Pennsylvania,2010,49,203,16584
Rhode Island,2010,49,42,6609
South Carolina,2010,49,29,5983
South Dakota,2010,49,64,5502
Tennessee,2010,49,122,11033
Texas,2010,49,1165,48474
Utah,2010,49,89,7640
Vermont,2010,49,48,4150
Virginia,2010,49,982,57786
Washington,2010,49,33,3421
West Virginia,2010,49,158,9957
Wisconsin,2010,49,70,5471
Wyoming,2010,49,20,4781
New York City,2010,49,2524,92454
Alabama,2010,50,1245,11930
Alaska,2010,50,21,1989
Arizona,2010,50,488,24178
Arkansas,2010,50,89,4227
California,2010,50,1170,31969
Colorado,2010,50,174,19299
Connecticut,2010,50,20,3033
Delaware,2010,50,12,4083
District of Columbia,2010,50,125,2886
Georgia,2010,50,2254,35755
Hawaii,2010,50,41,1632
Idaho,2010,50,54,3956
Illinois,2010,50,775,37787
Indiana,2010,50,98,10164
Iowa,2010,50,41,2736
Kansas,2010,50,84,9738
Kentucky,2010,50,77,12229
Louisiana,2010,50,450,13316
Maine,2010,50,20,5857
Maryland,2010,50,175,8713
Massachusetts,2010,50,316,28213
Michigan,2010,50,106,14027
Minnesota,2010,50,59,5081
Mississippi,2010,50,1529,17344
Missouri,2010,50,126,8936
Montana,2010,50,2,2588
Nebraska,2010,50,111,3429
Nevada,2010,50,440,10263
New Hampshire,2010,50,4,5640
New Jersey,2010,50,210,6561
New Mexico,2010,50,221,8115
New York,2010,50,357,13316
North Carolina,2010,50,119,18927
North Dakota,2010,50,6,1889
Ohio,2010,50,69,15455
Oklahoma,2010,50,111,3261
Oregon,2010,50,35,2509
Pennsylvania,2010,50,196,14447
Rhode Island,2010,50,30,6408
South Carolina,2010,50,41,5098
South Dakota,2010,50,51,5392
Tennessee,2010,50,121,8778
Texas,2010,50,1350,47519
Utah,2010,50,78,6993
Vermont,2010,50,50,3716
Virginia,2010,50,945,53894
Washington,2010,50,14,2162
West Virginia,2010,50,121,8545
Wisconsin,2010,50,31,4685
Wyoming,2010,50,15,4811
New York City,2010,50,3113,94881
Alabama,2010,51,1297,9910
Alaska,2010,51,15,1760
Arizona,2010,51,454,19716
Arkansas,2010,51,77,2132
California,2010,51,1057,22875
Colorado,2010,51,123,14757
Connecticut,2010,51,19,2175
Delaware,2010,51,13,2578
District of Columbia,2010,51,110,1907
Georgia,2010,51,2489,34195
Hawaii,2010,51,19,857
Idaho,2010,51,102,3182
Illinois,2010,51,1039,33621
Indiana,2010,51,100,7337
Iowa,2010,51,44,2123
Kansas,2010,51,75,7741
Kentucky,2010,51,148,11496
Louisiana,2010,51,588,15367
Maine,2010,51,25,4170
Maryland,2010,51,174,6355
Massachusetts,2010,51,268,20513
Michigan,2010,51,74,10820
Minnesota,2010,51,39,3853
Mississippi,2010,51,1775,16410
Missouri,2010,51,154,6573
Montana,2010,51,1,1602
Nebraska,2010,51,62,2792
Nevada,2010,51,495,14274
New Hampshire,2010,51,10,4110
New Jersey,2010,51,264,5685
New Mexico,2010,51,232,6800
New York,2010,51,388,10082
North Carolina,2010,51,107,11326
North Dakota,2010,51,4,1451
Ohio,2010,51,72,12037
Oklahoma,2010,51,85,2076
Oregon,2010,51,43,2087
Pennsylvania,2010,51,214,10680
Rhode Island,2010,51,38,4446
South Carolina,2010,51,31,3878
South Dakota,2010,51,69,4544
Tennessee,2010,51,145,6142
Texas,2010,51,1418,36611
Utah,2010,51,43,3883
Vermont,2010,51,45,2963
Virginia,2010,51,1260,57381
Washington,2010,51,6,1550
West Virginia,2010,51,87,7272
Wisconsin,2010,51,17,2451
Wyoming,2010,51,62,3798
New York City,2010,51,3819,89593
Alabama,2010,52,1274,10927
Alaska,2010,52,21,1857
Arizona,2010,52,344,22684
Arkansas,2010,52,61,2367
California,2010,52,916,19533
Colorado,2010,52,160,15093
Connecticut,2010,52,13,1523
Delaware,2010,52,19,3733
District of Columbia,2010,52,101,1475
Georgia,2010,52,2064,34013
Hawaii,2010,52,32,957
Idaho,2010,52,90,3464
Illinois,2010,52,1251,35224
Indiana,2010,52,136,7849
Iowa,2010,52,28,1923
Kansas,2010,52,81,5936
Kentucky,2010,52,134,14044
Louisiana,2010,52,1307,23212
Maine,2010,52,25,3877
Maryland,2010,52,199,5401
Massachusetts,2010,52,258,17670
Michigan,2010,52,83,9226
Minnesota,2010,52,34,3076
Mississippi,2010,52,1570,17379
Missouri,2010,52,181,6753
Montana,2010,52,3,1277
Nebraska,2010,52,85,2220
Nevada,2010,52,624,16055
New Hampshire,2010,52,8,3007
New Jersey,2010,52,199,4050
New Mexico,2010,52,259,6684
New York,2010,52,349,8311
North Carolina,2010,52,158,9938
North Dakota,2010,52,0,958
Ohio,2010,52,80,11091
Oklahoma,2010,52,142,2892
Oregon,2010,52,45,1959
Pennsylvania,2010,52,243,10188
Rhode Island,2010,52,44,3414
South Carolina,2010,52,57,4854
South Dakota,2010,52,67,4395
Tennessee,2010,52,188,6853
Texas,2010,52,1293,37950
Utah,2010,52,42,3853
Vermont,2010,52,63,3479
Virginia,2010,52,1466,61175
Washington,2010,52,30,1220
West Virginia,2010,52,103,7285
Wisconsin,2010,52,29,2089
Wyoming,2010,52,60,4099
New York City,2010,52,3625,82434
Alabama,2011,1,1191,12231
Alaska,2011,1,12,2025
Arizona,2011,1,411,25741
Arkansas,2011,1,122,3623
California,2011,1,1190,33407
Colorado,2011,1,199,21642
Connecticut,2011,1,25,2708
Delaware,2011,1,30,3827
District of Columbia,2011,1,143,3005
Georgia,2011,1,1723,35731
Hawaii,2011,1,48,1965
Idaho,2011,1,95,4659
Illinois,2011,1,1172,39188
Indiana,2011,1,168,9590
Iowa,2011,1,13,2245
Kansas,2011,1,101,9547
Kentucky,2011,1,135,10622
Louisiana,2011,1,922,21010
Maine,2011,1,31,6088
Maryland,2011,1,219,9645
Massachusetts,2011,1,328,27817
Michigan,2011,1,96,13973
Minnesota,2011,1,61,4450
Mississippi,2011,1,1139,16853
Missouri,2011,1,173,8134
Montana,2011,1,0,2164
Nebraska,2011,1,102,3393
Nevada,2011,1,588,19076
New Hampshire,2011,1,17,5171
New Jersey,2011,1,224,5667
New Mexico,2011,1,241,8157
New York,2011,1,352,12235
North Carolina,2011,1,289,18931
North Dakota,2011,1,4,1510
Ohio,2011,1,153,16724
Oklahoma,2011,1,100,3302
Oregon,2011,1,48,3926
Pennsylvania,2011,1,257,12189
Rhode Island,2011,1,32,5438
South Carolina,2011,1,94,6440
South Dakota,2011,1,78,5547
Tennessee,2011,1,178,10471
Texas,2011,1,1524,47440
Utah,2011,1,37,7116
Vermont,2011,1,75,4233
Virginia,2011,1,1596,64119
Washington,2011,1,35,2299
West Virginia,2011,1,135,10842
Wisconsin,2011,1,27,3367
Wyoming,2011,1,39,4837
New York City,2011,1,3297,99575
Alabama,2011,2,1195,10005
Alaska,2011,2,28,1889
Arizona,2011,2,447,26118
Arkansas,2011,2,166,3425
California,2011,2,1354,35695
Colorado,2011,2,202,19919
Connecticut,2011,2,34,3249
Delaware,2011,2,104,4110
District of Columbia,2011,2,146,3003
Georgia,2011,2,1133,27557
Hawaii,2011,2,41,2031
Idaho,2011,2,115,5097
Illinois,2011,2,1280,38982
Indiana,2011,2,256,10650
Iowa,2011,2,21,4574
Kansas,2011,2,79,7439
Kentucky,2011,2,98,13792
Louisiana,2011,2,989,17289
Maine,2011,2,27,5730
Maryland,2011,2,219,9269
Massachusetts,2011,2,407,24059
Michigan,2011,2,127,15234
Minnesota,2011,2,47,4396
Mississippi,2011,2,899,15123
Missouri,2011,2,194,8241
Montana,2011,2,5,2253
Nebraska,2011,2,86,2906
Nevada,2011,2,618,18647
New Hampshire,2011,2,11,4746
New Jersey,2011,2,273,5490
New Mexico,2011,2,250,8626
New York,2011,2,383,11098
North Carolina,2011,2,469,18505
North Dakota,2011,2,2,1693
Ohio,2011,2,189,16134
Oklahoma,2011,2,180,3124
Oregon,2011,2,66,4012
Pennsylvania,2011,2,322,13856
Rhode Island,2011,2,19,4568
South Carolina,2011,2,140,5677
South Dakota,2011,2,91,5184
Tennessee,2011,2,237,8694
Texas,2011,2,1950,48030
Utah,2011,2,58,2233
Vermont,2011,2,57,3835
Virginia,2011,2,1835,65278
Washington,2011,2,33,2707
West Virginia,2011,2,128,10170
Wisconsin,2011,2,29,3443
Wyoming,2011,2,51,4786
New York City,2011,2,2840,89582
Alabama,2011,3,1624,12391
Alaska,2011,3,36,2158
Arizona,2011,3,604,25296
Arkansas,2011,3,271,3999
California,2011,3,1324,32879
Colorado,2011,3,236,20684
Connecticut,2011,3,43,3633
Delaware,2011,3,81,4078
District of Columbia,2011,3,105,2696
Georgia,2011,3,1288,36583
Hawaii,2011,3,57,1772
Idaho,2011,3,162,4524
Illinois,2011,3,1664,41243
Indiana,2011,3,510,11622
Iowa,2011,3,44,4371
Kansas,2011,3,148,9233
Kentucky,2011,3,224,14943
Louisiana,2011,3,1684,21510
Maine,2011,3,39,5181
Maryland,2011,3,344,8341
Massachusetts,2011,3,370,24253
Michigan,2011,3,149,14242
Minnesota,2011,3,82,4465
Mississippi,2011,3,1062,16027
Missouri,2011,3,189,8381
Montana,2011,3,5,1992
Nebraska,2011,3,108,3461
Nevada,2011,3,664,17545
New Hampshire,2011,3,20,4731
New Jersey,2011,3,307,5991
New Mexico,2011,3,312,8384
New York,2011,3,356,11564
North Carolina,2011,3,910,22856
North Dakota,2011,3,14,1821
Ohio,2011,3,273,16650
Oklahoma,2011,3,345,3337
Oregon,2011,3,62,3257
Pennsylvania,2011,3,439,16098
Rhode Island,2011,3,23,4574
South Carolina,2011,3,171,6874
South Dakota,2011,3,124,5237
Tennessee,2011,3,390,10699
Texas,2011,3,2518,53212
Utah,2011,3,143,6688
Vermont,2011,3,73,4179
Virginia,2011,3,2719,68448
Washington,2011,3,16,2219
West Virginia,2011,3,207,10770
Wisconsin,2011,3,42,3368
Wyoming,2011,3,105,4443
New York City,2011,3,2588,89798
Alabama,2011,4,1938,13150
Alaska,2011,4,33,2355
Arizona,2011,4,756,32376
Arkansas,2011,4,335,4591
California,2011,4,1768,38393
Colorado,2011,4,406,21503
Connecticut,2011,4,38,3546
Delaware,2011,4,84,4214
District of Columbia,2011,4,106,2701
Georgia,2011,4,1629,37305
Hawaii,2011,4,68,1722
Idaho,2011,4,170,4958
Illinois,2011,4,1991,42193
Indiana,2011,4,902,13064
Iowa,2011,4,101,4611
Kansas,2011,4,291,10226
Kentucky,2011,4,365,18061
Louisiana,2011,4,1035,15601
Maine,2011,4,64,6189
Maryland,2011,4,322,8472
Massachusetts,2011,4,512,27470
Michigan,2011,4,252,15846
Minnesota,2011,4,100,5047
Mississippi,2011,4,1146,17413
Missouri,2011,4,322,8775
Montana,2011,4,6,2887
Nebraska,2011,4,164,3662
Nevada,2011,4,772,20128
New Hampshire,2011,4,22,5321
New Jersey,2011,4,321,5438
New Mexico,2011,4,452,8905
New York,2011,4,437,13025
North Carolina,2011,4,1260,25738
North Dakota,2011,4,19,1848
Ohio,2011,4,437,18179
Oklahoma,2011,4,511,3547
Oregon,2011,4,86,4067
Pennsylvania,2011,4,681,16829
Rhode Island,2011,4,55,5784
South Carolina,2011,4,414,8544
South Dakota,2011,4,150,5606
Tennessee,2011,4,652,12659
Texas,2011,4,3381,56973
Utah,2011,4,48,5361
Vermont,2011,4,89,4083
Virginia,2011,4,3294,69460
Washington,2011,4,46,2536
West Virginia,2011,4,313,10854
Wisconsin,2011,4,101,4248
Wyoming,2011,4,152,5245
New York City,2011,4,2302,86430
Alabama,2011,5,1504,11938
Alaska,2011,5,49,1332
Arizona,2011,5,682,27974
Arkansas,2011,5,296,4562
California,2011,5,1747,40255
Colorado,2011,5,486,19282
Connecticut,2011,5,71,4313
Delaware,2011,5,91,4553
District of Columbia,2011,5,106,3157
Georgia,2011,5,1828,38119
Hawaii,2011,5,63,1685
Idaho,2011,5,200,5073
Illinois,2011,5,1857,37377
Indiana,2011,5,826,12198
Iowa,2011,5,102,3903
Kansas,2011,5,286,8630
Kentucky,2011,5,496,15490
Louisiana,2011,5,2251,22407
Maine,2011,5,79,5374
Maryland,2011,5,381,9501
Massachusetts,2011,5,577,24333
Michigan,2011,5,230,13238
Minnesota,2011,5,119,4637
Mississippi,2011,5,1142,16773
Missouri,2011,5,318,6287
Montana,2011,5,23,2748
Nebraska,2011,5,156,2484
Nevada,2011,5,775,19222
New Hampshire,2011,5,24,4755
New Jersey,2011,5,384,6858
New Mexico,2011,5,437,7858
